	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	124	118	359	70	320	314	109	331	93
TN	1318	1319	1220	1327	1259	1215	1292	1204	1289
FP	22	21	120	13	81	125	48	136	51
FN	1571	1577	1336	1625	1375	1381	1586	1364	1602
PPV	0.849315068493151	0.848920863309353	0.749478079331942	0.843373493975904	0.798004987531172	0.715261958997722	0.694267515923567	0.708779443254818	0.645833333333333
NPV	0.456213222568363	0.455455801104972	0.477308294209703	0.449525745257453	0.47798025816249	0.468027734976888	0.448922863099375	0.468847352024922	0.445866482186095
Sensitivity	0.0731563421828909	0.0696165191740413	0.211799410029499	0.0412979351032448	0.188790560471976	0.185250737463127	0.064306784660767	0.195280235988201	0.0548672566371681
Specificity	0.983582089552239	0.984328358208955	0.91044776119403	0.990298507462687	0.93955223880597	0.906716417910448	0.964179104477612	0.898507462686567	0.961940298507463
F1_score	0.134709397066812	0.128680479825518	0.330266789328427	0.078740157480315	0.305343511450382	0.294283036551078	0.117710583153348	0.306197964847364	0.101141924959217
MCC	0.131663191840182	0.128138838140808	0.166505233063434	0.0962006964114176	0.188203929267527	0.129833091945535	0.0638663077258265	0.129070555713768	0.0392587532417328
AUC_PR	0.736039828197591	0.731982195088404	0.699486253204939	0.712650913147538	0.719397373724525	0.662780829770679	0.65986610847378	0.665146328684082	0.65354563946459
