	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	143	159	301	90	195	249	71	178	47
TN	1294	1301	1230	1303	1265	1223	1294	1221	1302
FP	46	38	110	37	75	117	46	119	38
FN	1552	1536	1394	1605	1500	1446	1624	1517	1648
PPV	0.756613756613757	0.807106598984772	0.732360097323601	0.708661417322835	0.722222222222222	0.680327868852459	0.606837606837607	0.599326599326599	0.552941176470588
NPV	0.454673225579761	0.458583010222066	0.46875	0.448074277854195	0.45750452079566	0.458224053952791	0.443454420836189	0.445945945945946	0.44135593220339
Sensitivity	0.0843657817109145	0.0938053097345133	0.177581120943953	0.0530973451327434	0.115044247787611	0.146902654867257	0.0418879056047198	0.105014749262537	0.0277286135693215
Specificity	0.965671641791045	0.971620612397311	0.917910447761194	0.972388059701493	0.944029850746269	0.912686567164179	0.965671641791045	0.911194029850746	0.971641791044776
F1_score	0.151804670912951	0.168076109936575	0.285849952516619	0.0987925356750823	0.198473282442748	0.241630276564774	0.0783664459161148	0.178714859437751	0.0528089887640449
MCC	0.102821477369604	0.131844558792547	0.13857964740854	0.0632018405077099	0.103039775456916	0.0908636411934081	0.0194983324114952	0.0270889772087984	-0.00189486518390252
