	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	97	138	368	56	286
TN	1325	1318	1219	1327	1265
FP	15	22	121	13	75
FN	1598	1557	1327	1639	1409
PPV	0.866071428571429	0.8625	0.752556237218814	0.811594202898551	0.792243767313019
NPV	0.453301402668491	0.458434782608696	0.478790259230165	0.447403910991234	0.473074046372476
Sensitivity	0.0572271386430678	0.0814159292035398	0.217109144542773	0.0330383480825959	0.168731563421829
Specificity	0.988805970149254	0.983582089552239	0.909701492537313	0.990298507462687	0.944029850746269
F1_score	0.107360265633647	0.148787061994609	0.336996336996337	0.0634920634920635	0.278210116731518
MCC	0.121250667156016	0.144430346601335	0.17128104565579	0.077744463277757	0.172967083212859
