	Degree	Closeness	Betweenness	PageRank	Eigenvector	av_Edge_Betweenness
TP	92	159	372	51	222	330
TN	1328	1321	1222	1329	1277	1216
FP	12	19	118	11	63	124
FN	1603	1536	1323	1644	1473	1365
PPV	0.884615384615385	0.893258426966292	0.759183673469388	0.82258064516129	0.778947368421053	0.726872246696035
NPV	0.45308768338451	0.462373118655933	0.480157170923379	0.447023208879919	0.464363636363636	0.4711352189074
Sensitivity	0.0542772861356932	0.0938053097345133	0.219469026548673	0.0300884955752212	0.130973451327434	0.194690265486726
Specificity	0.991044776119403	0.985820895522388	0.911940298507463	0.99179104477612	0.952985074626866	0.907462686567164
F1_score	0.102279043913285	0.169781099839829	0.340503432494279	0.058053500284576	0.224242424242424	0.307119590507213
MCC	0.123714992913665	0.168278312469386	0.177346042583473	0.0768037004536344	0.142926671094593	0.142221823712467
