	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	97	147	366	54	294	353	71	353	71
TN	1325	1315	1226	1327	1266	1208	1290	1208	1290
FP	15	25	114	13	74	132	50	132	50
FN	1598	1548	1329	1641	1401	1342	1624	1342	1624
PPV	0.866071428571429	0.854651162790698	0.7625	0.805970149253731	0.798913043478261	0.727835051546392	0.586776859504132	0.727835051546392	0.586776859504132
NPV	0.453301402668491	0.459308417743626	0.479843444227006	0.447102425876011	0.474690663667042	0.473725490196078	0.442690459849005	0.473725490196078	0.442690459849005
Sensitivity	0.0572271386430678	0.0867256637168142	0.215929203539823	0.031858407079646	0.173451327433628	0.208259587020649	0.0418879056047198	0.208259587020649	0.0418879056047198
Specificity	0.988805970149254	0.98134328358209	0.914925373134328	0.990298507462687	0.944776119402985	0.901492537313433	0.962686567164179	0.901492537313433	0.962686567164179
F1_score	0.107360265633647	0.157471880021425	0.336551724137931	0.0612939841089671	0.285021812893844	0.323853211009174	0.0781938325991189	0.323853211009174	0.0781938325991189
MCC	0.121250667156016	0.146187886438572	0.17807792902008	0.0748819565727134	0.179854017861213	0.148733646624308	0.0116102304005292	0.148733646624308	0.0116102304005292
