	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	158	141	404	88	346
TN	3711	3661	3242	3771	3361
FP	115	164	584	55	465
FN	1128	1145	882	1198	940
PPV	0.578754578754579	0.462295081967213	0.408906882591093	0.615384615384615	0.426633785450062
NPV	0.766893986360818	0.761756138160633	0.786129970902037	0.758905212316361	0.781446175308068
Sensitivity	0.122861586314152	0.109642301710731	0.314152410575428	0.0684292379471229	0.26905132192846
Specificity	0.969942498693152	0.957124183006536	0.847360167276529	0.985624673288029	0.878463146889702
F1_score	0.202694034637588	0.177247014456317	0.355321020228672	0.123163051084675	0.329995231282785
MCC	0.179102202162961	0.122307450159632	0.177484942977735	0.142238634423876	0.175199329002538
