	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	107	102	260	46	293
TN	1877	1857	1714	1891	1762
FP	30	49	193	16	145
FN	1021	1026	868	1082	835
PPV	0.781021897810219	0.675496688741722	0.573951434878587	0.741935483870968	0.668949771689498
NPV	0.647688060731539	0.644120707596254	0.663826491092177	0.636057854019509	0.678475163650366
Sensitivity	0.0948581560283688	0.0904255319148936	0.230496453900709	0.0407801418439716	0.259751773049645
Specificity	0.984268484530677	0.974291710388248	0.898793917147352	0.991609858416361	0.92396434189827
F1_score	0.169169960474308	0.159499609069586	0.328905755850727	0.0773109243697479	0.374201787994891
MCC	0.184180288830311	0.14382196105986	0.175335097102088	0.110649014061023	0.252641167185141
