	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	209	199	575	123	517
TN	2986	2948	2616	3010	2774
FP	61	99	431	37	273
FN	1856	1866	1490	1942	1548
PPV	0.774074074074074	0.667785234899329	0.571570576540755	0.76875	0.654430379746835
NPV	0.61668731928955	0.612380556709597	0.637116415002435	0.6078352180937	0.641832484960666
Sensitivity	0.101210653753027	0.0963680387409201	0.278450363196126	0.0595641646489104	0.250363196125908
Specificity	0.979980308500164	0.967509025270758	0.858549392845422	0.987856908434526	0.910403675746636
F1_score	0.179014989293362	0.168429961912823	0.374470856398567	0.110561797752809	0.362171628721541
MCC	0.178118762455251	0.133776560743973	0.169085974966766	0.133634109228756	0.218241274764935
