	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	169	290	624	77	357
TN	2999	2939	2687	3017	2844
FP	48	108	360	30	203
FN	1896	1775	1441	1988	1708
PPV	0.778801843317972	0.728643216080402	0.634146341463415	0.719626168224299	0.6375
NPV	0.612665985699694	0.623462028001697	0.650920542635659	0.602797202797203	0.624780316344464
Sensitivity	0.0818401937046005	0.14043583535109	0.302179176755448	0.0372881355932203	0.172881355932203
Specificity	0.984246800131277	0.964555300295373	0.881851000984575	0.990154250082048	0.933377092221858
F1_score	0.148115687992989	0.235485180673975	0.409314529353887	0.070902394106814	0.272
MCC	0.160844434169276	0.192270459101897	0.229043466068227	0.0940641616041527	0.166941604748843
