	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	111	132	249	71	149
TN	1829	1841	1716	1851	1786
FP	78	65	191	56	121
FN	1017	996	879	1057	979
PPV	0.587301587301587	0.67005076142132	0.565909090909091	0.559055118110236	0.551851851851852
NPV	0.642656359803233	0.648924920690871	0.661271676300578	0.636519944979367	0.645931283905967
Sensitivity	0.0984042553191489	0.117021276595745	0.220744680851064	0.0629432624113475	0.13209219858156
Specificity	0.959098059779759	0.965897166841553	0.899842684845307	0.970634504457263	0.936549554273728
F1_score	0.168564920273349	0.199245283018868	0.317602040816327	0.113147410358566	0.213161659513591
MCC	0.114991801159558	0.162631383979517	0.165514743315193	0.0810368673736618	0.11651687055372
