	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	224	303	791	148	558
TN	2094	2069	1862	2097	1976
FP	33	58	265	30	151
FN	2761	2682	2194	2837	2427
PPV	0.8715953307393	0.839335180055402	0.74905303030303	0.831460674157303	0.787023977433004
NPV	0.431307929969104	0.435487265838771	0.459072978303748	0.425010133765707	0.448784919373155
Sensitivity	0.0750418760469012	0.101507537688442	0.26499162479062	0.0495812395309883	0.186934673366834
Specificity	0.984485190409027	0.972731546779502	0.875411377527033	0.98589562764457	0.929007992477668
F1_score	0.138186304750154	0.181111775254035	0.391487255629795	0.0935820423648435	0.302111532214402
MCC	0.134279345135082	0.142837553795997	0.17094302111751	0.0953875295156171	0.16534906145956
