	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	249	265	624	158	327
TN	2044	2047	1847	2066	1993
FP	83	80	280	61	134
FN	2736	2720	2361	2827	2658
PPV	0.75	0.768115942028985	0.690265486725664	0.721461187214612	0.709327548806941
NPV	0.427615062761506	0.429410530732117	0.438925855513308	0.422235847128551	0.428509997849925
Sensitivity	0.0834170854271357	0.0887772194304858	0.209045226130653	0.0529313232830821	0.109547738693467
Specificity	0.960977903149976	0.96238834038552	0.868359191349318	0.971321109543959	0.937000470145745
F1_score	0.150135664757311	0.159159159159159	0.320905116996657	0.0986267166042447	0.189785258270459
MCC	0.0887987538337117	0.100531351116469	0.0999999029472692	0.0590339112108669	0.080100505040034
